date,duration_minutes,memory_rss_MiB,memory_uss_MiB,memory_vms_MiB,pop_df_mem_MiB,pop_df_number_alive,pop_df_rows,time
2010-01-01,0.11297738154729207,630.4765625,619.69140625,876.32421875,88.8384256362915,50000,50000,2024-11-09T00:24:16.546695
2010-02-01,5.039873417218526,748.36328125,737.3125,995.0078125,90.53917789459229,50122,51000,2024-11-09T00:29:18.939093
2010-03-01,5.563640348116556,866.87109375,855.8203125,1116.25390625,90.55117130279541,50196,51000,2024-11-09T00:34:52.757514
2010-04-01,7.45556237300237,1033.765625,1022.75,1279.29296875,90.56572818756104,50283,51000,2024-11-09T00:42:20.091256
2010-05-01,6.577721643447876,1207.7265625,1196.67578125,1455.66015625,90.58010196685791,50372,51000,2024-11-09T00:48:54.754556
2010-06-01,5.86294238169988,1377.6484375,1366.625,1627.92578125,90.59731388092041,50510,51000,2024-11-09T00:54:46.531099
2010-07-01,6.444684247175853,1547.5703125,1536.69140625,1794.76953125,90.60979557037354,50592,51000,2024-11-09T01:01:13.212153
2010-08-01,6.353263326485952,1629.78125,1618.82421875,1876.7265625,92.31213474273682,50749,52000,2024-11-09T01:07:34.407952
2010-09-01,6.582606065273285,1613.80859375,1602.74609375,1860.5078125,92.32846164703369,50873,52000,2024-11-09T01:14:09.364316
2010-10-01,7.562693119049072,1648.65625,1637.703125,1893.33203125,92.35662937164307,51106,52000,2024-11-09T01:21:43.125903
2010-11-01,7.58651252190272,1633.97265625,1622.9140625,1877.04296875,92.37390232086182,51241,52000,2024-11-09T01:29:18.316656
2010-12-01,6.607450819015503,1634.796875,1623.78515625,1877.9140625,92.39013767242432,51375,52000,2024-11-09T01:35:54.763704
2011-01-01,8.28349454800288,1617.08984375,1606.08984375,1861.30859375,94.09265995025635,51534,53000,2024-11-09T01:44:11.773376
2011-02-01,7.597534267107646,1601.3046875,1590.2421875,1844.8984375,94.11048221588135,51670,53000,2024-11-09T01:51:47.625433
2011-03-01,8.004218216737112,1603.515625,1592.453125,1846.171875,94.1290979385376,51793,53000,2024-11-09T01:59:47.878526
2011-04-01,8.866068394978841,1635.79296875,1624.9296875,1878.7734375,94.14493656158447,51853,53000,2024-11-09T02:08:39.842629
2011-05-01,7.893898971875509,1702.69140625,1691.6328125,1946.0234375,94.16166019439697,51962,53000,2024-11-09T02:16:33.476568
2011-06-01,7.7121760447820025,1856.04296875,1844.99609375,2100.125,95.86189365386963,52076,54000,2024-11-09T02:24:16.207131
2011-07-01,7.911814510822296,1857.46875,1846.53515625,2101.6640625,95.881272315979,52232,54000,2024-11-09T02:32:10.916002
2011-08-01,7.486255741119384,1842.765625,1831.703125,2086.70703125,95.8989725112915,52382,54000,2024-11-09T02:39:40.091346
2011-09-01,7.1857223550478615,1869.0546875,1858.13671875,2112.65234375,95.91291904449463,52486,54000,2024-11-09T02:46:51.234689
2011-10-01,7.517207793394724,1894.265625,1883.390625,2137.48046875,95.92878818511963,52614,54000,2024-11-09T02:54:22.267154
2011-11-01,7.118438637256622,1937.4375,1926.375,2181.4140625,97.62798404693604,52738,55000,2024-11-09T03:01:29.373473
2011-12-01,6.821015683809916,1914.75390625,1903.7109375,2158.859375,97.64522647857666,52890,55000,2024-11-09T03:08:18.634414
2012-01-01,7.720758140087128,1916.6796875,1905.67578125,2160.1484375,97.66109561920166,53022,55000,2024-11-09T03:16:01.879903
2012-02-01,7.6979435642560325,1934.9609375,1924.08203125,2177.4921875,97.68050479888916,53198,55000,2024-11-09T03:23:43.756516
2012-03-01,7.425375930468241,1937.03125,1925.96875,2179.80859375,97.69558048248291,53297,55000,2024-11-09T03:31:09.279075
2012-04-01,9.002805904547374,1978.0546875,1967.1328125,2222.015625,97.71404361724854,53441,55000,2024-11-09T03:40:09.447426
2012-05-01,7.984469417730967,2091.80078125,2080.984375,2336.52734375,99.41592502593994,53601,56000,2024-11-09T03:48:08.515591
2012-06-01,7.448728680610657,2109.3046875,2098.26953125,2351.66796875,99.43249607086182,53731,56000,2024-11-09T03:55:35.439312
2012-07-01,8.124508206049601,2133.4375,2122.453125,2376.8203125,99.45086765289307,53888,56000,2024-11-09T04:03:42.909804
2012-08-01,7.32529923915863,2132.0078125,2120.9609375,2374.65625,99.46493625640869,54008,56000,2024-11-09T04:11:02.427759
2012-09-01,7.94880938132604,2147.3515625,2136.5,2391.30078125,99.48086643218994,54136,56000,2024-11-09T04:18:59.356321
2012-10-01,8.443198466300965,2210.7578125,2199.7421875,2454.47265625,101.18131351470947,54288,57000,2024-11-09T04:27:25.948230
2012-11-01,7.455933856964111,2247.21484375,2236.2734375,2490.234375,101.1989221572876,54431,57000,2024-11-09T04:34:53.304263
2012-12-01,7.0733208100001015,2259.56640625,2248.609375,2502.43359375,101.21628665924072,54585,57000,2024-11-09T04:41:57.703510
2013-01-01,8.096252155303954,2235.5625,2224.5,2479.0078125,101.23368167877197,54717,57000,2024-11-09T04:50:03.478639
2013-02-01,8.10282078186671,2308.11328125,2297.23828125,2551.85546875,101.25406742095947,54900,57000,2024-11-09T04:58:09.647887
2013-03-01,8.154341105620066,2315.73828125,2304.6875,2558.08203125,102.956467628479,55063,58000,2024-11-09T05:06:18.908351
2013-04-01,9.249547946453095,2334.08984375,2323.08203125,2577.16796875,102.974289894104,55196,58000,2024-11-09T05:15:33.881230
