date,duration_minutes,memory_rss_MiB,memory_uss_MiB,memory_vms_MiB,pop_df_mem_MiB,pop_df_number_alive,pop_df_rows,time
2010-01-01,0.11234109004338583,532.390625,521.171875,777.56640625,88.8384256362915,50000,50000,2025-01-11T00:24:33.370725
2010-02-01,4.993645036220551,663.59765625,652.54296875,910.75,90.53926944732666,50122,51000,2025-01-11T00:29:32.989424
2010-03-01,4.458283400535583,811.99609375,800.76171875,1060.08984375,90.55126285552979,50193,51000,2025-01-11T00:34:00.486429
2010-04-01,5.622970060507456,962.44921875,951.2578125,1208.86328125,90.56594181060791,50281,51000,2025-01-11T00:39:37.864631
2010-05-01,5.067619701226552,1075.796875,1064.515625,1321.23046875,90.58037662506104,50369,51000,2025-01-11T00:44:41.921813
2010-06-01,4.845939000447591,1214.7578125,1203.7265625,1463.26953125,90.59743595123291,50507,51000,2025-01-11T00:49:32.678155
2010-07-01,4.99138168891271,1360.03125,1348.96484375,1610.33203125,90.61003971099854,50587,51000,2025-01-11T00:54:32.161054
2010-08-01,5.393590792020162,1532.734375,1521.55078125,1778.4453125,92.31219577789307,50742,52000,2025-01-11T00:59:55.776503
2010-09-01,5.4053861459096275,1535.1796875,1523.91015625,1778.6171875,92.32876682281494,50864,52000,2025-01-11T01:05:20.099670
2010-10-01,6.748058760166169,1519.08984375,1507.82421875,1762.53125,92.35604953765869,51099,52000,2025-01-11T01:12:04.983197
2010-11-01,6.683619439601898,1519.203125,1507.984375,1762.69140625,92.37292575836182,51238,52000,2025-01-11T01:18:46.000363
2010-12-01,6.47245770295461,1552.58203125,1541.46875,1795.68359375,94.0746545791626,51401,53000,2025-01-11T01:25:14.347825
2011-01-01,7.849684071540833,1487.421875,1476.1328125,1729.30859375,94.09403324127197,51563,53000,2025-01-11T01:33:05.328869
2011-02-01,7.557607467969259,1503.7109375,1492.5859375,1745.88671875,94.11560916900635,51739,53000,2025-01-11T01:40:38.785319
