date,duration_minutes,memory_rss_MiB,memory_uss_MiB,memory_vms_MiB,pop_df_mem_MiB,pop_df_number_alive,pop_df_rows,time
2010-01-01,0.11251580715179443,504.15625,493.078125,749.71875,88.8384256362915,50000,50000,2025-01-25T00:24:10.242769
2010-02-01,4.8463449716568,644.234375,633.0859375,890.8984375,90.53926944732666,50122,51000,2025-01-25T00:29:01.023463
2010-03-01,4.324569916725158,786.55859375,775.390625,1036.0,90.55126285552979,50193,51000,2025-01-25T00:33:20.497655
2010-04-01,5.488273545106252,948.30078125,937.078125,1199.0859375,90.56594181060791,50281,51000,2025-01-25T00:38:49.794069
2010-05-01,5.022749825318654,1057.80078125,1046.5390625,1310.53125,90.58037662506104,50369,51000,2025-01-25T00:43:51.159058
2010-06-01,4.849040424823761,1193.8515625,1182.62109375,1450.33984375,90.59743595123291,50507,51000,2025-01-25T00:48:42.101482
2010-07-01,4.946146961053213,1342.52734375,1331.33984375,1601.63671875,90.61003971099854,50587,51000,2025-01-25T00:53:38.870301
2010-08-01,5.24171955982844,1464.80078125,1453.6328125,1718.19140625,92.31219577789307,50742,52000,2025-01-25T00:58:53.373474
2010-09-01,5.342400213082631,1465.7265625,1454.59765625,1718.26953125,92.32876682281494,50864,52000,2025-01-25T01:04:13.917487
2010-10-01,6.803502496083578,1465.80078125,1454.75,1718.421875,92.35604953765869,51099,52000,2025-01-25T01:11:02.127636
2010-11-01,6.664873977502187,1466.11328125,1454.84765625,1718.51171875,92.37292575836182,51238,52000,2025-01-25T01:17:42.020075
2010-12-01,6.403456143538157,1495.9140625,1484.79296875,1747.9140625,94.0746545791626,51401,53000,2025-01-25T01:24:06.227444
2011-01-01,7.725838077068329,1420.98046875,1409.7109375,1663.07421875,94.09403324127197,51563,53000,2025-01-25T01:31:49.777728
2011-02-01,7.20414203008016,1427.91015625,1416.8046875,1670.29296875,94.11560916900635,51739,53000,2025-01-25T01:39:02.026251
2011-03-01,6.632906778653463,1427.80078125,1416.53125,1669.89453125,94.1331262588501,51861,53000,2025-01-25T01:45:40.000726
2011-04-01,7.248280958334605,1422.8515625,1411.74609375,1666.13671875,94.15088748931885,51976,53000,2025-01-25T01:52:54.897514
2011-05-01,6.885069278875987,1586.328125,1575.15625,1831.33984375,95.85151767730713,52083,54000,2025-01-25T01:59:48.001671
2011-06-01,6.772473080952962,1581.09375,1569.875,1824.828125,95.86741733551025,52185,54000,2025-01-25T02:06:34.350057
2011-07-01,6.71921409368515,1566.73046875,1555.55078125,1810.50390625,95.88465976715088,52314,54000,2025-01-25T02:13:17.502902
2011-08-01,6.4065945744514465,1575.48046875,1564.35546875,1819.5859375,95.89997959136963,52442,54000,2025-01-25T02:19:41.898576
2011-09-01,6.589973918596903,1595.60546875,1584.3359375,1838.6796875,95.91731357574463,52593,54000,2025-01-25T02:26:17.297013
2011-10-01,6.693940154711405,1629.62890625,1618.359375,1873.32421875,95.9348611831665,52725,54000,2025-01-25T02:32:58.933422
2011-11-01,6.9344902515411375,1736.8984375,1725.63671875,1981.40234375,97.63558292388916,52858,55000,2025-01-25T02:39:55.002836
2011-12-01,6.509137682120005,1736.94921875,1725.73828125,1981.50390625,97.65435123443604,53010,55000,2025-01-25T02:46:25.551096
2012-01-01,6.983565978209177,1720.28125,1709.01171875,1964.57421875,97.66954898834229,53131,55000,2025-01-25T02:53:24.565055
2012-02-01,6.708126584688823,1785.2734375,1774.10546875,2027.85546875,97.68758487701416,53288,55000,2025-01-25T03:00:07.052652
2012-03-01,6.658424846331278,1772.08203125,1761.0078125,2015.80078125,97.70354557037354,53426,55000,2025-01-25T03:06:46.558143
2012-04-01,7.7256791472435,1839.55078125,1828.28515625,2083.29296875,99.40588474273682,53565,56000,2025-01-25T03:14:30.098890
2012-05-01,7.474914316336314,1807.42578125,1796.18359375,2051.6171875,99.42517185211182,53717,56000,2025-01-25T03:21:58.593750
2012-06-01,6.864259604612986,1821.6171875,1810.4375,2065.6640625,99.44387912750244,53863,56000,2025-01-25T03:28:50.449325
2012-07-01,7.051670328776042,1827.1484375,1815.8828125,2069.40234375,99.46167087554932,54009,56000,2025-01-25T03:35:53.549544
2012-08-01,6.848207525412241,1858.18359375,1847.15234375,2101.5859375,99.48004245758057,54162,56000,2025-01-25T03:42:44.441997
2012-09-01,6.879160412152609,1891.38671875,1880.3125,2134.484375,101.18033695220947,54303,57000,2025-01-25T03:49:37.191623
2012-10-01,7.017993537584941,1927.109375,1915.90234375,2170.88671875,101.19699954986572,54435,57000,2025-01-25T03:56:38.271233
2012-11-01,7.043754430611928,1926.1875,1914.921875,2170.0390625,101.2165002822876,54601,57000,2025-01-25T04:03:40.896499
2012-12-01,6.777227163314819,1957.5078125,1946.2421875,2201.58984375,101.23474979400635,54765,57000,2025-01-25T04:10:27.530128
2013-01-01,7.798273579279582,2009.08203125,1997.84765625,2252.41796875,101.25382328033447,54910,57000,2025-01-25T04:18:15.426543
2013-02-01,7.1005398790041605,2068.3515625,2057.29296875,2313.2578125,102.95604038238525,55071,58000,2025-01-25T04:25:21.458936
2013-03-01,6.982804310321808,2000.2265625,1988.96484375,2243.953125,102.9741678237915,55221,58000,2025-01-25T04:32:20.427195
2013-04-01,7.860883057117462,2020.8515625,2009.5859375,2264.953125,102.99522495269775,55402,58000,2025-01-25T04:40:12.080179
2013-05-01,6.9728181004524235,2074.21484375,2063.1171875,2318.5625,103.01393222808838,55564,58000,2025-01-25T04:47:10.449264
2013-06-01,7.317513251304627,2061.93359375,2050.68359375,2305.60546875,103.03352451324463,55720,58000,2025-01-25T04:54:29.500060
2013-07-01,7.0798764030138654,2113.09375,2101.98828125,2356.4453125,104.73403263092041,55866,59000,2025-01-25T05:01:34.292644
2013-08-01,7.310934042930603,2090.2109375,2078.94140625,2333.85546875,104.75154972076416,56010,59000,2025-01-25T05:08:52.948687
2013-09-01,7.4278619686762495,2129.6484375,2118.484375,2372.8515625,104.77114200592041,56166,59000,2025-01-25T05:16:18.620430
2013-10-01,7.206692938009898,2167.08203125,2155.9609375,2410.9375,104.78881168365479,56303,59000,2025-01-25T05:23:31.021982
2013-11-01,7.138931369781494,2184.046875,2172.9765625,2427.3203125,104.80742740631104,56470,59000,2025-01-25T05:30:39.357863
2013-12-01,6.720812853177389,2296.49609375,2285.45703125,2541.63671875,106.50830173492432,56616,60000,2025-01-25T05:37:22.606634
2014-01-01,7.738975890477499,2372.1875,2361.05859375,2617.1640625,106.52572727203369,56758,60000,2025-01-25T05:45:06.945187
2014-02-01,7.133915801843007,2389.89453125,2378.8046875,2634.1640625,106.54153537750244,56881,60000,2025-01-25T05:52:14.980136
2014-03-01,6.905688166618347,2413.71875,2402.47265625,2656.4140625,106.55929660797119,57017,60000,2025-01-25T05:59:09.321426
2014-04-01,8.099502909183503,2417.07421875,2406.0078125,2661.24609375,106.57907199859619,57176,60000,2025-01-25T06:07:15.291600
2014-05-01,7.497125593821208,2454.19921875,2443.125,2697.703125,106.59677219390869,57316,60000,2025-01-25T06:14:45.119136
2014-06-01,7.708569065729777,2458.5859375,2447.44140625,2702.91015625,108.29895877838135,57462,61000,2025-01-25T06:22:27.633279
2014-07-01,7.44842513402303,2473.83203125,2462.578125,2717.91015625,108.31531620025635,57595,61000,2025-01-25T06:29:54.538788
2014-08-01,7.613101983070374,2491.05078125,2479.8359375,2734.1796875,108.3336877822876,57742,61000,2025-01-25T06:37:31.324906
2014-09-01,7.634320310751597,2515.3359375,2504.11328125,2758.16015625,108.3521203994751,57886,61000,2025-01-25T06:45:09.384126
2014-10-01,7.745586490631103,2515.83203125,2504.57421875,2758.86328125,108.3690881729126,58032,61000,2025-01-25T06:52:54.119315
2014-11-01,7.908659096558889,2599.28125,2588.13671875,2843.61328125,110.07106113433838,58194,62000,2025-01-25T07:00:48.638860
2014-12-01,7.416321845849355,2614.6953125,2603.53125,2859.77734375,110.09080600738525,58365,62000,2025-01-25T07:08:13.618171
