date,duration_minutes,memory_rss_MiB,memory_uss_MiB,memory_vms_MiB,pop_df_mem_MiB,pop_df_number_alive,pop_df_rows,time
2010-01-01,0.06918318271636963,496.390625,485.30859375,741.97265625,88.8384256362915,50000,50000,2025-02-15T00:23:41.430811
2010-02-01,3.4662488102912903,646.36328125,635.171875,893.359375,90.53926944732666,50122,51000,2025-02-15T00:27:09.405735
2010-03-01,3.1514785091082254,787.45703125,776.26953125,1034.48046875,90.55126285552979,50193,51000,2025-02-15T00:30:18.494447
2010-04-01,4.027340308825175,909.68359375,898.6484375,1153.8515625,90.56594181060791,50281,51000,2025-02-15T00:34:20.134865
2010-05-01,3.627943833669027,1095.84765625,1084.66796875,1341.94921875,90.58037662506104,50369,51000,2025-02-15T00:37:57.811494
2010-06-01,3.5058554490407308,1180.01171875,1168.82421875,1429.4921875,90.59743595123291,50507,51000,2025-02-15T00:41:28.162821
2010-07-01,3.8314266443252563,1326.87890625,1315.7578125,1578.9765625,90.61003971099854,50587,51000,2025-02-15T00:45:18.048420
2010-08-01,4.17600576877594,1476.85546875,1465.7421875,1729.2578125,92.31219577789307,50742,52000,2025-02-15T00:49:28.608766
2010-09-01,4.200138092041016,1478.2734375,1467.1640625,1730.6796875,92.32876682281494,50864,52000,2025-02-15T00:53:40.617051
2010-10-01,5.475034368038178,1496.3515625,1485.140625,1748.53125,92.35604953765869,51099,52000,2025-02-15T00:59:09.119114
2010-11-01,5.538143253326416,1465.71484375,1454.46484375,1717.73046875,92.37292575836182,51238,52000,2025-02-15T01:04:41.407709
2010-12-01,5.52220710515976,1506.671875,1495.5546875,1759.85546875,94.0746545791626,51401,53000,2025-02-15T01:10:12.740135
2011-01-01,6.375012906392415,1408.5625,1397.56640625,1660.95703125,94.09403324127197,51563,53000,2025-02-15T01:16:35.240912
2011-02-01,5.99720405737559,1438.1875,1427.16796875,1683.55859375,94.11560916900635,51739,53000,2025-02-15T01:22:35.073153
2011-03-01,5.401598286628723,1418.625,1407.53125,1660.515625,94.1331262588501,51861,53000,2025-02-15T01:27:59.169051
2011-04-01,5.88493537902832,1435.64453125,1424.5390625,1678.22265625,94.15088748931885,51976,53000,2025-02-15T01:33:52.265174
2011-05-01,5.700995469093323,1517.12109375,1506.02734375,1759.01171875,95.85151767730713,52083,54000,2025-02-15T01:39:34.324903
2011-06-01,5.273307311534881,1500.6796875,1489.48046875,1742.46484375,95.86741733551025,52185,54000,2025-02-15T01:44:50.723339
2011-07-01,5.672161551316579,1517.5546875,1506.41796875,1759.40234375,95.88465976715088,52314,54000,2025-02-15T01:50:31.053033
2011-08-01,5.380144393444061,1484.7890625,1473.5390625,1726.3984375,95.89997959136963,52442,54000,2025-02-15T01:55:53.861698
2011-09-01,5.445216536521912,1515.3046875,1504.234375,1757.00390625,95.91731357574463,52593,54000,2025-02-15T02:01:20.574688
2011-10-01,5.802706678708394,1576.296875,1565.2734375,1818.96875,95.9348611831665,52725,54000,2025-02-15T02:07:08.737090
2011-11-01,5.764412140846252,1661.6875,1650.4921875,1906.203125,97.63558292388916,52858,55000,2025-02-15T02:12:54.601819
2011-12-01,5.505480221907297,1695.54296875,1684.515625,1940.2265625,97.65435123443604,53010,55000,2025-02-15T02:18:24.930636
2012-01-01,5.766529874006907,1708.0390625,1696.7890625,1949.3046875,97.66954898834229,53131,55000,2025-02-15T02:24:10.922424
2012-02-01,5.450222682952881,1699.02734375,1687.9765625,1940.4921875,97.68758487701416,53288,55000,2025-02-15T02:29:37.935787
2012-03-01,5.349896121025085,1720.0859375,1708.875,1962.19140625,97.70354557037354,53426,55000,2025-02-15T02:34:58.929551
2012-04-01,6.184227768580119,1821.87890625,1810.6796875,2063.66796875,99.40588474273682,53565,56000,2025-02-15T02:41:09.983219
2012-05-01,5.856151115894318,1685.6171875,1674.44140625,1927.6015625,99.42517185211182,53717,56000,2025-02-15T02:47:01.352285
2012-06-01,5.623240176836649,1707.6875,1696.51953125,1950.328125,99.44387912750244,53863,56000,2025-02-15T02:52:38.746695
2012-07-01,5.968987488746643,1726.8359375,1715.703125,1968.421875,99.46167087554932,54009,56000,2025-02-15T02:58:36.885948
2012-08-01,5.793759842713674,1744.68359375,1733.67578125,1987.16796875,99.48004245758057,54162,56000,2025-02-15T03:04:24.511535
2012-09-01,5.714638864994049,1815.9609375,1804.765625,2059.24609375,101.18033695220947,54303,57000,2025-02-15T03:10:07.389867
2012-10-01,6.150409491856893,1873.75390625,1862.5390625,2117.16015625,101.19699954986572,54435,57000,2025-02-15T03:16:16.414439
2012-11-01,6.201702229181925,1888.91015625,1877.6640625,2132.3203125,101.2165002822876,54601,57000,2025-02-15T03:22:28.516574
2012-12-01,5.821808290481568,1865.1015625,1854.03125,2108.3828125,101.23474979400635,54765,57000,2025-02-15T03:28:17.825068
2013-01-01,6.654144112269083,1925.890625,1914.8125,2167.6171875,101.25382328033447,54910,57000,2025-02-15T03:34:57.073714
