date,duration_minutes,memory_rss_MiB,memory_uss_MiB,memory_vms_MiB,pop_df_mem_MiB,pop_df_number_alive,pop_df_rows,time
2010-01-01,0.07725720405578614,529.6328125,518.546875,774.65234375,88.8384256362915,50000,50000,2025-02-19T22:21:36.353139
2010-02-01,3.4338955998420717,635.7890625,624.546875,879.75,90.53926944732666,50122,51000,2025-02-19T22:25:02.386868
2010-03-01,2.9820501605669656,781.421875,770.15625,1025.87109375,90.55126285552979,50193,51000,2025-02-19T22:28:01.309877
2010-04-01,3.8171080271402995,881.04296875,869.7421875,1125.88671875,90.56594181060791,50281,51000,2025-02-19T22:31:50.336360
2010-05-01,3.5686460653940837,1043.44140625,1032.18359375,1287.97265625,90.58037662506104,50369,51000,2025-02-19T22:35:24.455124
2010-06-01,3.5147536476453145,1208.703125,1197.625,1453.89453125,90.59743595123291,50507,51000,2025-02-19T22:38:55.340376
2010-07-01,3.979774848620097,1361.25390625,1349.9921875,1606.65234375,90.61003971099854,50587,51000,2025-02-19T22:42:54.126833
2010-08-01,3.856687827905019,1501.7421875,1490.51953125,1746.296875,92.31219577789307,50742,52000,2025-02-19T22:46:45.528102
2010-09-01,4.140474943319957,1503.53125,1492.37890625,1748.13671875,92.32876682281494,50864,52000,2025-02-19T22:50:53.956598
2010-10-01,5.705347208182017,1522.0234375,1510.80078125,1766.55078125,92.35604953765869,51099,52000,2025-02-19T22:56:36.277431
2010-11-01,5.607614882787069,1507.9140625,1496.65625,1752.3984375,92.37292575836182,51238,52000,2025-02-19T23:02:12.734327
2010-12-01,5.687889818350474,1532.14453125,1520.953125,1777.60546875,94.0746545791626,51401,53000,2025-02-19T23:07:54.007716
2011-01-01,6.361969033877055,1436.63671875,1425.30859375,1680.92578125,94.09403324127197,51563,53000,2025-02-19T23:14:15.725857
2011-02-01,6.093108908335368,1437.9296875,1426.6015625,1682.21875,94.11560916900635,51739,53000,2025-02-19T23:20:21.312390
2011-03-01,5.484842983881633,1430.05078125,1418.94140625,1675.58984375,94.1331262588501,51861,53000,2025-02-19T23:25:50.402969
2011-04-01,6.21253437201182,1454.13671875,1442.98828125,1698.22265625,94.15088748931885,51976,53000,2025-02-19T23:32:03.155032
2011-05-01,5.765519241491954,1556.421875,1545.25,1799.72265625,95.85151767730713,52083,54000,2025-02-19T23:37:49.086185
2011-06-01,5.769266748428345,1549.10546875,1537.86328125,1792.2109375,95.86741733551025,52185,54000,2025-02-19T23:43:35.242191
2011-07-01,5.5280601223309835,1540.21484375,1528.98046875,1783.328125,95.88465976715088,52314,54000,2025-02-19T23:49:06.925797
2011-08-01,5.0766592462857565,1540.2734375,1529.078125,1783.42578125,95.89997959136963,52442,54000,2025-02-19T23:54:11.525352
2011-09-01,5.266160293420156,1547.95703125,1536.80859375,1790.9609375,95.91731357574463,52593,54000,2025-02-19T23:59:27.494972
2011-10-01,5.458769651254018,1592.49609375,1581.19921875,1835.69140625,95.9348611831665,52725,54000,2025-02-20T00:04:55.021150
2011-11-01,5.544652390480041,1735.19921875,1723.9140625,1978.3203125,97.63558292388916,52858,55000,2025-02-20T00:10:27.700292
2011-12-01,5.2662524580955505,1735.2421875,1724.0625,1978.46875,97.65435123443604,53010,55000,2025-02-20T00:15:43.675441
2012-01-01,5.469990380605062,1735.390625,1724.19140625,1978.46875,97.66954898834229,53131,55000,2025-02-20T00:21:11.874862
2012-02-01,5.214143661657969,1736.40234375,1725.08984375,1978.734375,97.68758487701416,53288,55000,2025-02-20T00:26:24.723483
2012-03-01,4.936785515149435,1739.5078125,1728.37890625,1982.8671875,97.70354557037354,53426,55000,2025-02-20T00:31:20.930614
2012-04-01,5.81551753282547,1765.4609375,1754.29296875,2009.58984375,99.40588474273682,53565,56000,2025-02-20T00:37:09.861668
2012-05-01,5.604345989227295,1697.26953125,1686.078125,1940.109375,99.42517185211182,53717,56000,2025-02-20T00:42:46.122432
2012-06-01,5.269082546234131,1706.68359375,1695.44921875,1949.109375,99.44387912750244,53863,56000,2025-02-20T00:48:02.267378
2012-07-01,5.581855952739716,1742.4140625,1731.2734375,1985.52734375,99.46167087554932,54009,56000,2025-02-20T00:53:37.178735
2012-08-01,5.310684927304586,1754.40234375,1743.07421875,1997.08984375,99.48004245758057,54162,56000,2025-02-20T00:58:55.819832
2012-09-01,5.303436287244161,1828.73046875,1817.62109375,2073.16796875,101.18033695220947,54303,57000,2025-02-20T01:04:14.026007
2012-10-01,5.535826067129771,1849.76953125,1838.609375,2092.3046875,101.19699954986572,54435,57000,2025-02-20T01:09:46.175571
