date,duration_minutes,memory_rss_MiB,memory_uss_MiB,memory_vms_MiB,pop_df_mem_MiB,pop_df_number_alive,pop_df_rows,time
2010-01-01,0.06728400786717732,502.16015625,491.25,747.80859375,88.8384256362915,50000,50000,2025-05-10T00:25:55.966652
2010-02-01,3.021093952655792,637.8203125,626.62890625,882.55078125,90.53926944732666,50122,51000,2025-05-10T00:28:57.232285
2010-03-01,2.720808788140615,766.5546875,755.49609375,1010.55078125,90.55126285552979,50193,51000,2025-05-10T00:31:40.480812
2010-04-01,3.587356861432393,915.04296875,903.83203125,1158.79296875,90.56594181060791,50281,51000,2025-05-10T00:35:15.722224
2010-05-01,3.2618688027064007,1076.41796875,1065.16796875,1320.4375,90.58037662506104,50369,51000,2025-05-10T00:38:31.434352
2010-06-01,3.1360284050305682,1202.35546875,1191.3359375,1447.23046875,90.59743595123291,50507,51000,2025-05-10T00:41:39.596056
2010-07-01,3.430553718407949,1356.1484375,1344.88671875,1600.890625,90.61003971099854,50587,51000,2025-05-10T00:45:05.429280
2010-08-01,3.5593075791994733,1456.37109375,1445.09765625,1700.18359375,92.31219577789307,50742,52000,2025-05-10T00:48:38.987734
2010-09-01,3.6348512887954714,1488.515625,1477.2421875,1732.1796875,92.32876682281494,50864,52000,2025-05-10T00:52:17.078811
2010-10-01,4.857627658049266,1455.15234375,1443.87890625,1698.8046875,92.35604953765869,51099,52000,2025-05-10T00:57:08.536471
2010-11-01,4.926595910390218,1495.02734375,1483.75390625,1738.6796875,92.37292575836182,51238,52000,2025-05-10T01:02:04.132228
2010-12-01,4.907899347941081,1520.3125,1509.12109375,1765.0078125,94.0746545791626,51401,53000,2025-05-10T01:06:58.606190
2011-01-01,5.842535833517711,1433.3125,1422.0390625,1676.96484375,94.09403324127197,51563,53000,2025-05-10T01:12:49.158337
2011-02-01,5.566561154524485,1409.72265625,1398.58984375,1653.640625,94.11560916900635,51739,53000,2025-05-10T01:18:23.152006
2011-03-01,4.984183613459269,1441.32421875,1430.05078125,1684.9765625,94.1331262588501,51861,53000,2025-05-10T01:23:22.203022
2011-04-01,5.424831446011861,1439.625,1428.56640625,1684.4453125,94.15088748931885,51976,53000,2025-05-10T01:28:47.692909
2011-05-01,5.29075604279836,1491.90234375,1480.62890625,1735.5546875,95.85151767730713,52083,54000,2025-05-10T01:34:05.138272
2011-06-01,4.929130887985229,1468.03125,1456.8359375,1711.88671875,95.86741733551025,52185,54000,2025-05-10T01:39:00.886126
2011-07-01,5.118540648619334,1468.03125,1456.8359375,1711.88671875,95.88465976715088,52314,54000,2025-05-10T01:44:07.998565
2011-08-01,4.753891352812449,1498.5390625,1487.265625,1742.19140625,95.89997959136963,52442,54000,2025-05-10T01:48:53.232046
2011-09-01,4.980066573619842,1468.03125,1456.8359375,1711.88671875,95.91731357574463,52593,54000,2025-05-10T01:53:52.036039
2011-10-01,5.11547003587087,1535.94921875,1524.76171875,1780.39453125,95.9348611831665,52725,54000,2025-05-10T01:58:58.964242
2011-11-01,5.155809271335602,1768.1171875,1757.05859375,2013.828125,97.63558292388916,52858,55000,2025-05-10T02:04:08.312799
2011-12-01,5.245529814561208,1730.8046875,1719.53125,1974.45703125,97.65435123443604,53010,55000,2025-05-10T02:09:23.044587
2012-01-01,5.219603896141052,1715.58984375,1704.31640625,1959.2421875,97.66954898834229,53131,55000,2025-05-10T02:14:36.220821
2012-02-01,4.9969554742177325,1711.63671875,1700.36328125,1955.2890625,97.68758487701416,53288,55000,2025-05-10T02:19:36.038149
2012-03-01,4.709175038337707,1728.8046875,1717.53125,1972.45703125,97.70354557037354,53426,55000,2025-05-10T02:24:18.588655
2012-04-01,5.536994504928589,1739.86328125,1728.76171875,1983.828125,99.40588474273682,53565,56000,2025-05-10T02:29:50.808321
2012-05-01,5.2832864880561825,1702.1171875,1691.0546875,1946.10546875,99.42517185211182,53717,56000,2025-05-10T02:35:07.805511
2012-06-01,5.060433673858642,1704.8828125,1693.8203125,1946.10546875,99.44387912750244,53863,56000,2025-05-10T02:40:11.431534
2012-07-01,5.155036489168803,1738.06640625,1726.79296875,1979.6484375,99.46167087554932,54009,56000,2025-05-10T02:45:20.733722
2012-08-01,5.116076469421387,1754.51953125,1743.2578125,1995.56640625,99.48004245758057,54162,56000,2025-05-10T02:50:27.698310
2012-09-01,5.00428661108017,1781.234375,1770.17578125,2023.15625,101.18033695220947,54303,57000,2025-05-10T02:55:27.955506
2012-10-01,5.234661853313446,1797.17578125,1786.16015625,2038.5,101.19699954986572,54435,57000,2025-05-10T03:00:42.035216
2012-11-01,5.173643763860067,1792.29296875,1781.02734375,2034.11328125,101.2165002822876,54601,57000,2025-05-10T03:05:52.453844
2012-12-01,4.997045441468557,1784.4453125,1773.1875,2026.2109375,101.23474979400635,54765,57000,2025-05-10T03:10:52.276569
2013-01-01,5.683441344896952,1827.6171875,1816.34375,2068.99609375,101.25382328033447,54910,57000,2025-05-10T03:16:33.283049
2013-02-01,5.362648590405782,1895.57421875,1884.36328125,2138.3046875,102.95604038238525,55071,58000,2025-05-10T03:21:55.041965
2013-03-01,4.874017282327016,1834.53125,1823.2578125,2075.421875,102.9741678237915,55221,58000,2025-05-10T03:26:47.483002
2013-04-01,5.736110544204712,1884.1015625,1872.88671875,2125.9296875,102.99522495269775,55402,58000,2025-05-10T03:32:31.649635
2013-05-01,5.020609815915425,1896.5078125,1885.2421875,2138.03125,103.01393222808838,55564,58000,2025-05-10T03:37:32.886224
2013-06-01,5.381489658355713,1871.18359375,1859.91796875,2112.421875,103.03352451324463,55720,58000,2025-05-10T03:42:55.775604
2013-07-01,5.341408888498942,1931.41796875,1920.24609375,2172.53125,104.73403263092041,55866,59000,2025-05-10T03:48:16.260136
2013-08-01,5.218445229530334,1929.4140625,1918.15625,2171.234375,104.75154972076416,56010,59000,2025-05-10T03:53:29.366850
2013-09-01,5.415906830628713,1962.1328125,1950.96484375,2203.28125,104.77114200592041,56166,59000,2025-05-10T03:58:54.321261
2013-10-01,5.337386564413706,1941.390625,1930.1171875,2182.2890625,104.78881168365479,56303,59000,2025-05-10T04:04:14.564459
2013-11-01,5.559970422585805,1989.28515625,1978.01171875,2230.18359375,104.80742740631104,56470,59000,2025-05-10T04:09:48.162681
