date,duration_minutes,memory_rss_MiB,memory_uss_MiB,memory_vms_MiB,pop_df_mem_MiB,pop_df_number_alive,pop_df_rows,time
2010-01-01,0.05885291496912638,592.390625,581.34765625,838.671875,95.2783432006836,50000,50000,2025-09-13T00:26:21.468568
2010-02-01,3.177059805393219,694.16015625,682.96484375,939.05859375,97.10796356201172,50125,51000,2025-09-13T00:29:32.092154
2010-03-01,2.7605300426483153,820.8125,809.6171875,1066.57421875,97.1200180053711,50202,51000,2025-09-13T00:32:17.723958
2010-04-01,3.3757595896720884,968.2421875,957.14453125,1213.18359375,97.1345443725586,50300,51000,2025-09-13T00:35:40.269531
2010-05-01,3.1240772048632306,1122.23046875,1111.1875,1367.22265625,97.1490707397461,50385,51000,2025-09-13T00:38:47.714164
2010-06-01,2.943258273601532,1236.73046875,1225.5859375,1481.90625,97.16625213623047,50523,51000,2025-09-13T00:41:44.309659
2010-07-01,3.1470965782801312,1425.85546875,1414.7734375,1670.79296875,97.17845916748047,50605,51000,2025-09-13T00:44:53.135455
2010-08-01,3.324574609597524,1497.13671875,1485.93359375,1742.31640625,99.0095443725586,50750,52000,2025-09-13T00:48:12.609931
2010-09-01,3.3951470851898193,1472.41015625,1461.4453125,1717.9453125,99.0255355834961,50861,52000,2025-09-13T00:51:36.318756
2010-10-01,4.766136960188548,1497.859375,1486.65625,1742.546875,99.05254364013672,51090,52000,2025-09-13T00:56:22.286973
2010-11-01,4.876378949483236,1497.9453125,1486.7421875,1742.6328125,99.06990814208984,51221,52000,2025-09-13T01:01:14.869712
2010-12-01,5.011181473731995,1510.29296875,1499.13671875,1752.05859375,100.90117645263672,51371,53000,2025-09-13T01:06:15.540599
2011-01-01,5.444116580486297,1493.58203125,1482.37890625,1735.26171875,100.92162322998047,51544,53000,2025-09-13T01:11:42.187594
2011-02-01,4.986264526844025,1510.36328125,1499.24609375,1752.25390625,100.94066619873047,51670,53000,2025-09-13T01:16:41.363465
2011-03-01,4.705079750219981,1493.6640625,1482.4609375,1735.34375,100.95809173583984,51787,53000,2025-09-13T01:21:23.668250
2011-04-01,5.47751532793045,1498.84375,1487.640625,1740.5234375,100.97692108154297,51891,53000,2025-09-13T01:26:52.319170
2011-05-01,4.985307145118713,1564.17578125,1553.08984375,1806.11328125,102.80611419677734,51990,54000,2025-09-13T01:31:51.437599
2011-06-01,4.669445757071177,1586.53125,1575.328125,1828.60546875,102.82158660888672,52101,54000,2025-09-13T01:36:31.604344
2011-07-01,4.729516307512919,1553.94140625,1542.7734375,1796.17578125,102.8380355834961,52225,54000,2025-09-13T01:41:15.375322
2011-08-01,4.495380922158559,1579.28125,1568.078125,1821.35546875,102.8528060913086,52341,54000,2025-09-13T01:45:45.098178
2011-09-01,4.483804885546366,1579.76953125,1568.56640625,1821.44921875,102.86922454833984,52479,54000,2025-09-13T01:50:14.126471
2011-10-01,4.837267565727234,1597.75390625,1586.66015625,1840.25,102.88488006591797,52605,54000,2025-09-13T01:55:04.362526
2011-11-01,4.683635997772217,1749.2109375,1738.0078125,1991.57421875,104.71202850341797,52709,55000,2025-09-13T01:59:45.380684
2011-12-01,4.632293554147084,1749.31640625,1738.11328125,1991.6796875,104.73076629638672,52877,55000,2025-09-13T02:04:23.318298
2012-01-01,5.076667606830597,1766.66796875,1755.47265625,2009.15234375,104.74617767333984,52998,55000,2025-09-13T02:09:27.918357
2012-02-01,4.973288234074911,1749.52734375,1738.32421875,1991.87890625,104.76512908935547,53155,55000,2025-09-13T02:14:26.315649
2012-03-01,4.571737607320149,1732.1328125,1720.9296875,1974.484375,104.78170013427734,53286,55000,2025-09-13T02:19:00.619910
2012-04-01,5.411005540688833,1796.73828125,1785.6875,2039.3671875,104.8012924194336,53441,55000,2025-09-13T02:24:25.280237
2012-05-01,5.261486021677653,1833.90625,1822.703125,2075.609375,106.6338119506836,53606,56000,2025-09-13T02:29:40.969399
2012-06-01,4.757925657431285,1843.81640625,1832.6171875,2085.65625,106.65196990966797,53756,56000,2025-09-13T02:34:26.444938
2012-07-01,4.838270445664723,1839.35546875,1828.15625,2082.0234375,106.66680145263672,53875,56000,2025-09-13T02:39:16.741165
2012-08-01,4.84071196715037,1844.27734375,1833.0859375,2085.9921875,106.68453216552734,54022,56000,2025-09-13T02:44:07.183883
2012-09-01,4.725601057211558,1890.59375,1879.5234375,2132.53125,106.70122528076172,54164,56000,2025-09-13T02:48:50.719946
2012-10-01,5.072952886422475,1901.33203125,1890.12890625,2143.90234375,108.52996063232422,54293,57000,2025-09-13T02:53:55.097119
2012-11-01,4.864178125063578,1920.765625,1909.7890625,2162.796875,108.54854583740234,54459,57000,2025-09-13T02:58:46.947808
2012-12-01,4.700271673997244,1911.90234375,1900.69921875,2153.9765625,108.56502532958984,54591,57000,2025-09-13T03:03:28.964108
2013-01-01,5.400386377175649,1948.30078125,1937.09765625,2189.984375,108.58385467529297,54741,57000,2025-09-13T03:08:52.987290
2013-02-01,5.296885764598846,1978.1796875,1967.09765625,2220.1171875,108.60350799560547,54898,57000,2025-09-13T03:14:10.800436
2013-03-01,4.867341967423757,1925.76953125,1914.63671875,2167.66796875,110.43273162841797,55031,58000,2025-09-13T03:19:02.840953
2013-04-01,5.36928706963857,1936.19140625,1925.20703125,2178.2265625,110.4522933959961,55192,58000,2025-09-13T03:24:24.998180
2013-05-01,5.246783367792765,1944.40234375,1933.26171875,2186.29296875,110.47344207763672,55374,58000,2025-09-13T03:29:39.805180
2013-06-01,5.2796746333440145,1956.34765625,1945.3046875,2198.35546875,110.49358367919922,55531,58000,2025-09-13T03:34:56.585659
2013-07-01,4.987426559130351,1970.27734375,1959.30859375,2212.40625,110.51085662841797,55671,58000,2025-09-13T03:39:55.831252
2013-08-01,5.059640077749888,2024.1875,2012.984375,2265.8671875,112.34008026123047,55815,59000,2025-09-13T03:44:59.409657
