date,duration_minutes,memory_rss_MiB,memory_uss_MiB,memory_vms_MiB,pop_df_mem_MiB,pop_df_number_alive,pop_df_rows,time
2010-01-01,0.0531755526860555,592.10546875,581.32421875,837.625,95.2783432006836,50000,50000,2025-09-20T00:24:37.883671
2010-02-01,2.810046406586965,680.5,669.56640625,925.72265625,97.10796356201172,50125,51000,2025-09-20T00:27:26.486452
2010-03-01,2.472366654872894,832.95703125,821.96484375,1078.14453125,97.1200180053711,50202,51000,2025-09-20T00:29:54.828451
2010-04-01,3.0101226568222046,999.984375,989.05859375,1245.22265625,97.1345443725586,50300,51000,2025-09-20T00:32:55.435812
2010-05-01,2.893542702992757,1114.78125,1104.0078125,1361.11328125,97.1490707397461,50385,51000,2025-09-20T00:35:49.048373
2010-06-01,2.678954470157623,1231.078125,1220.16796875,1476.2734375,97.16625213623047,50523,51000,2025-09-20T00:38:29.785641
2010-07-01,2.8900222341219584,1419.6953125,1408.859375,1664.9375,97.17845916748047,50605,51000,2025-09-20T00:41:23.186976
2010-08-01,2.996655988693237,1511.1328125,1500.12109375,1756.09765625,99.0095443725586,50750,52000,2025-09-20T00:44:22.986336
2010-09-01,3.12952500184377,1511.2265625,1500.21484375,1756.171875,99.0255355834961,50861,52000,2025-09-20T00:47:30.757834
2010-10-01,4.218980220953624,1511.3828125,1500.37109375,1756.328125,99.05254364013672,51090,52000,2025-09-20T00:51:43.896647
2010-11-01,4.401150369644165,1486.6328125,1475.78515625,1731.796875,99.06990814208984,51221,52000,2025-09-20T00:56:07.965669
2010-12-01,4.519977633158366,1512.38671875,1501.4453125,1757.515625,100.90117645263672,51371,53000,2025-09-20T01:00:39.164327
2011-01-01,5.133367987473806,1457.66015625,1446.5859375,1702.53125,100.92162322998047,51544,53000,2025-09-20T01:05:47.166407
2011-02-01,4.602843487262726,1474.625,1463.55078125,1719.49609375,100.94066619873047,51670,53000,2025-09-20T01:10:23.337016
2011-03-01,4.377591562271118,1489.296875,1478.22265625,1734.16796875,100.95809173583984,51787,53000,2025-09-20T01:14:45.992510
2011-04-01,5.041003918647766,1496.59765625,1485.5234375,1741.46875,100.97692108154297,51891,53000,2025-09-20T01:19:48.452745
2011-05-01,4.583416279157003,1547.7578125,1536.8828125,1792.98046875,102.80611419677734,51990,54000,2025-09-20T01:24:23.457721
2011-06-01,4.298463404178619,1528.8359375,1517.7890625,1773.84375,102.82158660888672,52101,54000,2025-09-20T01:28:41.365526
2011-07-01,4.256590235233307,1556.33984375,1545.265625,1798.96875,102.8380355834961,52225,54000,2025-09-20T01:32:56.760940
2011-08-01,4.097609388828277,1531.0625,1520.0625,1773.890625,102.8528060913086,52341,54000,2025-09-20T01:37:02.617505
2011-09-01,4.105911266803742,1531.0625,1520.08984375,1773.91796875,102.86922454833984,52479,54000,2025-09-20T01:41:08.972181
2011-10-01,4.254186058044434,1579.76171875,1568.90625,1821.97265625,102.88488006591797,52605,54000,2025-09-20T01:45:24.223343
2011-11-01,4.184359399477641,1752.98828125,1741.9140625,1994.859375,104.71202850341797,52709,55000,2025-09-20T01:49:35.284909
2011-12-01,4.32481586933136,1767.76953125,1756.6953125,2009.9765625,104.73076629638672,52877,55000,2025-09-20T01:53:54.773859
2012-01-01,4.486630924542745,1783.8046875,1772.73046875,2025.98828125,104.74617767333984,52998,55000,2025-09-20T01:58:23.971714
2012-02-01,4.55026611884435,1784.17578125,1773.1015625,2026.0390625,104.76512908935547,53155,55000,2025-09-20T02:02:56.987681
2012-03-01,4.2392807602882385,1785.03125,1773.95703125,2026.89453125,104.78170013427734,53286,55000,2025-09-20T02:07:11.344527
2012-04-01,4.785186684131622,1793.6484375,1782.57421875,2035.51171875,104.8012924194336,53441,55000,2025-09-20T02:11:58.455728
2012-05-01,4.7097325642903645,1763.87890625,1752.8046875,2005.7421875,106.6338119506836,53606,56000,2025-09-20T02:16:41.039682
2012-06-01,4.23688847621282,1763.9765625,1752.90234375,2005.83984375,106.65196990966797,53756,56000,2025-09-20T02:20:55.252991
2012-07-01,4.379854563872019,1748.140625,1737.23828125,1990.30078125,106.66680145263672,53875,56000,2025-09-20T02:25:18.044265
2012-08-01,4.322014729181926,1777.7578125,1766.68359375,2019.62109375,106.68453216552734,54022,56000,2025-09-20T02:29:37.365147
2012-09-01,4.254443911711375,1755.8203125,1744.7890625,1997.8515625,106.70122528076172,54164,56000,2025-09-20T02:33:52.631783
2012-10-01,4.59018835624059,1823.09375,1812.01953125,2064.95703125,108.52996063232422,54293,57000,2025-09-20T02:38:28.043085
