date,duration_minutes,memory_rss_MiB,memory_uss_MiB,memory_vms_MiB,pop_df_mem_MiB,pop_df_number_alive,pop_df_rows,time
2010-01-01,0.05150123039881389,592.33203125,581.22265625,837.6875,95.2783432006836,50000,50000,2025-09-27T00:26:05.723038
2010-02-01,2.8193328619003295,682.671875,671.45703125,930.27734375,97.1079330444336,50123,51000,2025-09-27T00:28:54.883006
2010-03-01,2.5385541518529258,817.2421875,805.984375,1065.92578125,97.11986541748047,50192,51000,2025-09-27T00:31:27.196255
2010-04-01,3.0129483739535012,1009.84375,998.68359375,1260.625,97.13445281982422,50289,51000,2025-09-27T00:34:27.973158
2010-05-01,2.8183152516682943,1144.4296875,1133.1484375,1396.92578125,97.1489486694336,50378,51000,2025-09-27T00:37:17.072074
2010-06-01,2.5518897930781046,1276.11328125,1265.08984375,1527.34765625,97.1659164428711,50518,51000,2025-09-27T00:39:50.185461
2010-07-01,2.920363144079844,1430.86328125,1419.73828125,1679.75,97.1782455444336,50593,51000,2025-09-27T00:42:45.407248
2010-08-01,2.907623302936554,1525.5234375,1514.2421875,1772.875,99.00933074951172,50746,52000,2025-09-27T00:45:39.864647
2010-09-01,3.026092255115509,1525.6640625,1514.3828125,1773.015625,99.02599334716797,50878,52000,2025-09-27T00:48:41.430182
2010-10-01,4.1313088218371075,1525.89453125,1514.61328125,1773.24609375,99.05327606201172,51113,52000,2025-09-27T00:52:49.308714
2010-11-01,4.443042242527008,1533.859375,1522.578125,1781.2109375,99.07225799560547,51261,52000,2025-09-27T00:57:15.891246
2010-12-01,4.115325474739075,1530.48828125,1519.20703125,1777.83984375,99.0876693725586,51380,52000,2025-09-27T01:01:22.810775
2011-01-01,4.973468065261841,1517.484375,1506.203125,1760.8203125,100.91805267333984,51532,53000,2025-09-27T01:06:21.218858
2011-02-01,4.597031807899475,1536.91015625,1525.72265625,1779.24609375,100.93840789794922,51694,53000,2025-09-27T01:10:57.040768
2011-03-01,4.2629908442497255,1538.7578125,1527.4765625,1780.875,100.95738983154297,51839,53000,2025-09-27T01:15:12.820217
2011-04-01,5.133983345826467,1523.12890625,1511.84765625,1765.24609375,100.9775619506836,51967,53000,2025-09-27T01:20:20.859219
2011-05-01,4.756143124898275,1550.4140625,1539.22265625,1792.23046875,102.8097152709961,52099,54000,2025-09-27T01:25:06.227806
2011-06-01,4.252701755364736,1522.73828125,1511.50390625,1764.49609375,102.82518768310547,52202,54000,2025-09-27T01:29:21.389911
2011-07-01,4.407629907131195,1548.20703125,1536.92578125,1789.6796875,102.84331512451172,52343,54000,2025-09-27T01:33:45.847706
2011-08-01,4.19290159145991,1548.2890625,1537.0078125,1789.76171875,102.8597640991211,52467,54000,2025-09-27T01:37:57.421801
2011-09-01,4.127893666426341,1549.984375,1538.703125,1791.45703125,102.87581634521484,52600,54000,2025-09-27T01:42:05.095421
2011-10-01,4.3558346152305605,1614.8203125,1603.7265625,1858.015625,102.89171600341797,52715,54000,2025-09-27T01:46:26.445499
2011-11-01,4.371603838602701,1785.64453125,1774.36328125,2030.5078125,104.71953582763672,52841,55000,2025-09-27T01:50:48.741728
2011-12-01,4.0861297686894735,1750.3203125,1739.0390625,1995.03125,104.73815155029297,53003,55000,2025-09-27T01:54:53.909514
2012-01-01,4.454505383968353,1785.98046875,1774.69921875,2030.69140625,104.75267791748047,53116,55000,2025-09-27T01:59:21.179838
2012-02-01,4.661691145102183,1786.58984375,1775.30859375,2031.30078125,104.77263641357422,53282,55000,2025-09-27T02:04:00.881309
2012-03-01,4.078899542490642,1754.12890625,1742.84765625,1995.52734375,104.78841400146484,53407,55000,2025-09-27T02:08:05.615279
2012-04-01,4.970594608783722,1782.26953125,1771.00390625,2023.80859375,106.6213607788086,53578,56000,2025-09-27T02:13:03.850956
2012-05-01,4.480913158257803,1792.05078125,1781.0078125,2033.8125,106.63799285888672,53703,56000,2025-09-27T02:17:32.705745
2012-06-01,4.31268130938212,1789.859375,1778.60546875,2031.41015625,106.65550994873047,53837,56000,2025-09-27T02:21:51.466623
2012-07-01,4.652585776646932,1773.21875,1761.9375,2014.6171875,106.67357635498047,53976,56000,2025-09-27T02:26:30.621770
2012-08-01,4.256098079681396,1779.77734375,1768.49609375,2021.2890625,106.6904525756836,54106,56000,2025-09-27T02:30:45.987655
2012-09-01,4.31489542722702,1796.9921875,1785.75,2039.1953125,106.70635223388672,54224,56000,2025-09-27T02:35:04.881381
2012-10-01,4.712551351388296,1872.921875,1861.640625,2114.6015625,108.53655242919922,54376,57000,2025-09-27T02:39:47.634461
2012-11-01,4.5027853886286415,1913.5390625,1902.2578125,2155.28125,108.5555648803711,54532,57000,2025-09-27T02:44:17.801585
2012-12-01,4.25870101849238,1921.546875,1910.26953125,2163.4453125,108.5719223022461,54668,57000,2025-09-27T02:48:33.323646
2013-01-01,4.595807278156281,1936.5078125,1925.2265625,2179.6015625,108.58831024169922,54810,57000,2025-09-27T02:53:09.072083
