date,duration_minutes,memory_rss_MiB,memory_uss_MiB,memory_vms_MiB,pop_df_mem_MiB,pop_df_number_alive,pop_df_rows,time
2010-01-01,0.15731370846430462,714.24609375,703.28515625,961.515625,101.90758037567139,50000,50000,2026-02-28T00:36:03.446224
2010-02-01,3.944234621524811,735.4296875,724.25390625,982.69921875,103.8697919845581,50092,51000,2026-02-28T00:40:00.100298
2010-03-01,3.350385085741679,890.30859375,879.11328125,1139.44921875,103.88215160369873,50162,51000,2026-02-28T00:43:21.123402
2010-04-01,3.9926432172457376,1027.19921875,1016.01953125,1278.6796875,103.8967695236206,50247,51000,2026-02-28T00:47:20.681995
2010-05-01,3.8626013080279034,1180.08984375,1168.96875,1433.75,103.91120433807373,50299,51000,2026-02-28T00:51:12.438074
2010-06-01,3.75991131067276,1297.484375,1286.5078125,1553.39453125,103.9282636642456,50417,51000,2026-02-28T00:54:58.032753
2010-07-01,3.8032931129137677,1455.5078125,1444.30859375,1711.7578125,103.9410810470581,50490,51000,2026-02-28T00:58:46.230338
2010-08-01,4.250201817353567,1698.23828125,1687.28125,1956.734375,105.90555095672607,50632,52000,2026-02-28T01:03:01.242449
2010-09-01,4.138434934616089,1698.48046875,1687.35546875,1956.734375,105.92199993133545,50744,52000,2026-02-28T01:07:09.548543
2010-10-01,5.77709469795227,1698.71875,1687.5234375,1956.96875,105.94995403289795,50981,52000,2026-02-28T01:12:56.174225
2010-11-01,5.835726304848989,1698.7265625,1687.609375,1956.96875,105.96704387664795,51105,52000,2026-02-28T01:18:46.317803
2010-12-01,5.4797375480333965,1674.59765625,1663.5078125,1932.51171875,107.92837047576904,51229,53000,2026-02-28T01:24:15.102061
2011-01-01,6.752109142144521,1681.94140625,1670.98046875,1939.984375,107.9473524093628,51367,53000,2026-02-28T01:31:00.228607
2011-02-01,6.1494098663330075,1685.9296875,1674.77734375,1939.984375,107.9673719406128,51511,53000,2026-02-28T01:37:09.193203
2011-03-01,5.833483334382375,1694.4765625,1683.27734375,1939.984375,107.98546886444092,51629,53000,2026-02-28T01:42:59.202199
