date,duration_minutes,memory_rss_MiB,memory_uss_MiB,memory_vms_MiB,pop_df_mem_MiB,pop_df_number_alive,pop_df_rows,time
2010-01-01,0.17600409984588622,737.38671875,726.078125,984.9921875,101.90758037567139,50000,50000,2026-04-25T00:47:27.801337
2010-02-01,3.9040746768315633,750.234375,738.84765625,997.25,103.8697919845581,50090,51000,2026-04-25T00:51:22.045810
2010-03-01,3.2872806350390116,879.1796875,867.79296875,1128.25,103.88190746307373,50155,51000,2026-04-25T00:54:39.282648
2010-04-01,3.9693735241889954,1031.91796875,1020.6640625,1283.4296875,103.8965253829956,50236,51000,2026-04-25T00:58:37.445062
2010-05-01,3.7657140374183653,1180.93359375,1169.6875,1434.44921875,103.9109296798706,50307,51000,2026-04-25T01:02:23.387902
2010-06-01,3.7214001655578612,1303.84375,1292.67578125,1559.72265625,103.92798900604248,50417,51000,2026-04-25T01:06:06.671915
2010-07-01,3.958406909306844,1457.05078125,1445.6484375,1711.3671875,103.9408369064331,50495,51000,2026-04-25T01:10:04.176326
2010-08-01,4.120230185985565,1649.41015625,1638.21484375,1906.421875,105.90478801727295,50649,52000,2026-04-25T01:14:11.390142
2010-09-01,4.191002110640208,1649.56640625,1638.37109375,1906.57421875,105.92087078094482,50753,52000,2026-04-25T01:18:22.850264
2010-10-01,5.783833396434784,1649.75390625,1638.5546875,1906.74609375,105.94876384735107,50987,52000,2026-04-25T01:24:09.880270
2010-11-01,5.886837089061737,1675.65234375,1664.25,1932.31640625,105.9667387008667,51118,52000,2026-04-25T01:30:03.090495
2010-12-01,5.622491455078125,1673.49609375,1662.20703125,1930.0859375,107.92812633514404,51241,53000,2026-04-25T01:35:40.439981
2011-01-01,6.500144263108571,1685.14453125,1673.83203125,1941.6796875,107.94567394256592,51365,53000,2026-04-25T01:42:10.448636
2011-02-01,6.357903917630513,1643.4375,1632.03515625,1897.2890625,107.96654796600342,51520,53000,2026-04-25T01:48:31.922871
2011-03-01,5.7957121928532915,1658.2265625,1647.03125,1912.41015625,107.9839735031128,51617,53000,2026-04-25T01:54:19.665603
2011-04-01,6.36847532192866,1670.0625,1658.89453125,1924.2734375,108.00112438201904,51706,53000,2026-04-25T02:00:41.774123
2011-05-01,6.248528667291006,1686.78515625,1675.57421875,1940.953125,109.96519756317139,51851,54000,2026-04-25T02:06:56.685844
2011-06-01,5.9689517219861346,1658.5390625,1647.21875,1912.59765625,109.98140239715576,51950,54000,2026-04-25T02:12:54.822947
2011-07-01,6.151765012741089,1684.01171875,1672.609375,1937.86328125,110.00026226043701,52099,54000,2026-04-25T02:19:03.928846
2011-08-01,5.338276668389638,1659.2890625,1647.96875,1912.59765625,110.01359844207764,52196,54000,2026-04-25T02:24:24.225447
2011-09-01,5.669042356808981,1664.2890625,1652.96875,1912.59765625,110.03047466278076,52327,54000,2026-04-25T02:30:04.367987
